run_id,timestamp,machine_name,machine_model,git_branch,git_sha,git_state,worktree_fingerprint,metric,terminal_host,workspace_scope,sample_count,avg_ms,min_ms,max_ms,samples_ms
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,terminal_untracked_tab.cli_window_focus.process_tracked_tab,ghostty,single,1,163.0,163,163,163
2026-05-01T17:33:56Z-336955a34e3d-dirty-cf08f5ba04dc-yogesh-mac-2024,2026-05-01T17:33:56Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,336955a34e3da1f4174e4b7c70f63e1eb91203b0,dirty,cf08f5ba04dcf1f317b6e13cbe082fd2f974f39beae5619801c2ef285ceffe6f,terminal_untracked_tab.cli_window_focus.process_tracked_tab,iterm2,single,1,249.0,249,249,249
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,ghostty,primary,1,143.0,143,143,143
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,ghostty,secondary,1,143.0,143,143,143
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,ghostty,single,1,145.0,145,145,145
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,iterm2,primary,1,128.0,128,128,128
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,iterm2,secondary,1,128.0,128,128,128
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,iterm2,single,1,125.0,125,125,125
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,browser_untracked_tab.cli_window_focus.browser_tracked_tab,ghostty,single,1,215.0,215,215,215
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,browser_untracked_tab.cli_window_focus.browser_tracked_tab,iterm2,single,1,226.0,226,226,226
